#,BAL SIM,22 COL,22 TEX,19 SEA,17 CIN,MEAN,BOS,NYY,TOR,TB,DET,MIN,CWS,CLE,KC,LAA,ATH,HOU,SEA,TEX,WSH,ATL,NYM,PHI,MIA,CHC,MIL,STL,PIT,CIN,SF,LAD,SD,COL,ARI
102,-22,-10,-10,-22,-20,-16.8,34,-2,12,-18,-6,6,8,-10,-2,2,-22,-12,26,2,-12,-22,2,10,10,28,28,-2,-26,22,2,18,16,-50,-20
105,-23,-13,-11,-21,-21,-17.8,35,-3,15,-15,-5,7,9,-11,-1,3,-21,-11,29,1,-11,-25,1,9,9,29,31,-3,-29,21,-1,19,15,-53,-21
108,-24,-14,-12,-18,-20,-17.6,38,-4,14,-14,-4,6,8,-10,-2,2,-22,-10,30,2,-10,-26,0,10,10,28,32,-6,-28,20,2,18,16,-56,-20
111,-27,-15,-13,-17,-21,-18.6,39,-7,13,-15,-1,7,9,-13,-5,1,-23,-9,33,-1,-13,-25,3,11,9,27,33,-7,-27,21,5,17,19,-57,-17
114,-26,-14,-12,-20,-20,-18.4,40,-4,16,-16,-2,8,10,-12,-6,2,-24,-8,36,-4,-14,-24,2,12,10,30,32,-8,-28,18,6,16,18,-60,-20
117,-27,-15,-13,-21,-19,-19,39,-3,15,-15,-1,9,11,-15,-7,3,-25,-11,37,-3,-17,-25,1,11,13,31,31,-9,-27,19,9,19,17,-61,-19
120,-26,-18,-12,-22,-20,-19.6,40,-4,14,-12,0,8,14,-14,-6,0,-26,-12,34,0,-18,-26,2,8,14,30,32,-10,-28,20,8,20,18,-62,-18
123,-27,-17,-11,-23,-19,-19.4,39,-5,15,-11,-1,7,13,-15,-5,1,-23,-13,35,1,-17,-27,-1,9,11,31,31,-9,-27,19,7,19,19,-61,-15
126,-28,-18,-10,-20,-20,-19.2,42,-2,16,-12,0,8,10,-14,-6,-2,-22,-14,38,2,-20,-28,0,10,12,32,34,-10,-28,18,4,22,18,-64,-16
129,-29,-19,-13,-19,-19,-19.8,41,-3,17,-11,-1,7,9,-15,-5,-1,-21,-13,37,1,-23,-27,3,11,11,33,33,-9,-27,19,3,23,17,-65,-15
