#,BAL,BOS,NYY,TOR,TB,DET,MIN,CWS,CLE,KC,LAA,ATH,HOU,SEA,TEX,WSH,ATL,NYM,PHI,MIA,CHC,MIL,STL,PIT,CIN,SF,LAD,SD,COL,ARI
126,-14,8,22,20,0,6,-8,-48,14,18,-2,-28,0,-2,-2,-26,-28,24,20,-6,10,48,16,-10,8,-2,18,-4,-62,10
129,-17,11,19,21,-3,7,-9,-49,15,17,-1,-29,3,-3,-5,-29,-25,27,21,-7,13,51,17,-11,11,-5,17,-3,-65,11
132,-20,10,18,22,-2,8,-8,-48,14,20,-2,-28,2,-2,-2,-30,-26,24,20,-8,12,50,18,-10,12,-6,18,-2,-66,12
135,-19,9,17,19,-3,9,-9,-47,13,23,-3,-27,1,-1,-5,-31,-27,25,21,-9,15,51,21,-11,9,-5,19,-1,-69,15
138,-20,12,16,22,-4,10,-8,-48,10,22,-4,-28,-2,-2,-4,-34,-30,26,22,-12,18,54,24,-10,12,-8,22,0,-72,16
141,-23,11,15,21,-1,13,-5,-51,13,23,-3,-27,-3,-5,-5,-35,-31,27,23,-15,19,53,25,-13,15,-7,25,-3,-71,15
144,-26,10,16,20,2,14,-6,-52,14,24,-2,-28,0,-4,-2,-34,-34,30,22,-16,20,56,22,-14,14,-6,22,-2,-74,14
147,-29,9,15,23,1,13,-5,-53,15,21,-1,-29,-1,-1,-3,-33,-35,29,23,-15,21,57,21,-15,15,-5,23,-1,-73,13
150,-30,10,16,24,2,12,-4,-56,14,22,-2,-30,0,0,-4,-34,-36,32,20,-14,22,58,20,-16,16,-6,22,-2,-70,14
153,-31,11,17,25,-1,13,-3,-55,13,21,-3,-29,-3,1,-7,-31,-37,35,19,-15,21,61,21,-17,15,-7,23,-1,-73,17
156,-30,12,16,28,0,14,-6,-58,10,20,0,-30,-2,2,-8,-30,-38,34,20,-12,20,60,18,-14,14,-8,20,0,-70,18
159,-29,13,15,29,-3,13,-5,-61,9,19,-1,-27,-1,1,-7,-33,-35,33,23,-15,19,63,19,-13,15,-7,21,-1,-71,17
162,-28,14,18,30,-2,12,-8,-64,6,16,-2,-28,-4,4,-4,-34,-38,34,22,-16,16,64,22,-12,16,-4,20,2,-72,20
#,BAL,BOS,NYY,TOR,TB,DET,MIN,CWS,CLE,KC,LAA,ATH,HOU,SEA,TEX,WSH,ATL,NYM,PHI,MIA,CHC,MIL,STL,PIT,CIN,SF,LAD,SD,COL,ARI
3,-1,3,1,1,-3,1,-1,-1,-1,1,3,-1,-3,-1,-1,1,-1,1,-3,1,1,1,-1,1,3,1,-1,1,-1,-1
6,-2,2,0,0,0,2,-2,2,0,-2,4,-4,-4,0,0,0,0,-2,-2,4,0,4,0,2,2,2,0,0,-4,-2
9,-1,3,-1,1,1,3,-3,1,3,-3,1,-3,-5,-3,-1,1,-1,-3,1,3,3,5,1,1,5,1,-3,1,-7,-1
12,-2,4,0,0,0,4,-2,0,0,-6,0,-4,-4,0,0,-2,0,0,2,6,2,8,-2,4,6,-2,-2,0,-8,-2
15,-3,5,1,-3,3,5,-3,3,1,-7,3,-3,-3,1,1,-3,-1,-1,5,5,3,11,-3,1,5,-5,-3,1,-11,-5
18,-4,6,0,0,0,4,-4,6,4,-6,2,-6,-2,0,0,-4,0,0,2,4,2,12,-2,4,6,-6,-2,2,-10,-8
21,-1,5,-1,3,-1,5,-3,7,5,-9,5,-9,1,-1,-1,-5,-3,1,1,5,1,13,-3,1,9,-5,-1,1,-13,-7
24,-2,6,2,2,-2,4,0,4,4,-8,2,-12,0,0,-2,-8,-2,0,2,4,2,14,-6,2,12,-4,2,2,-14,-4
